問題ID,分野,問題文,画像,選択肢1,選択肢2,選択肢3,選択肢4,正解,解説,解説画像
22,テクノロジ系,機械的な可動部分が無く，電力消費も少ないという特徴をもつ補助記憶装置はどれか。,,CD-RWドライブ,DVDドライブ,HDD,SSD,4,"SSD(Solid State Drive)は、記憶媒体としてUSBメモリと同じフラッシュメモリを用いる補助記憶装置です。ハードディスクのようにディスクを持たないため、ヘッドのシークタイムや、サーチタイムがなく、高速に読み書きできます。また、モーターが無いため消費電力も少なく、機械的に駆動する部品が無いため衝撃に強い特徴があります。
現段階ではハードディスクと比較して容量当たりの単価が高いため、HDDほど普及していませんが、メーカー製PCに最初から搭載されるケースや補助記憶装置をSSDに交換するケースは確実に増えてきています。高速性や静音性に優れるSSDは、今後、補助記憶装置の主流になっていくと予想されます。",
23,テクノロジ系,PCの起動時に動作するプログラムの種類をBIOS(Basic Input Output System)，OS，常駐アプリケーションプログラムの三つに大別した場合，これらのプログラムを実行される順に並べたものはどれか。,,BIOS，OS，常駐アプリケーションプログラム,OS，BIOS，常駐アプリケーションプログラム,OS，常駐アプリケーションプログラム，BIOS,常駐アプリケーションプログラム，BIOS，OS,1,"パソコンの起動時に最初に動作し、入出力装置の診断・設定を行うプログラムをBIOS(Basic Input/Output System，バイオス)といいます。ROMから読みだされたBIOSは各部のハードウェアを認識し、正常に稼働することを確認してから起動処理をOSに引き継ぎます。
処理を引き継がれたOSは、自身を稼働させるためのソフトウェアをハードディスクから取り出してメモリにロードします。アプリケーションプログラムは、OSの上に成り立っているので実行されるのは最も後になります。",
24,テクノロジ系,タッチパネルに関する記述として，適切なものはどれか。,,画面上の位置を指示するためのペン型又はマウス型の装置と，位置を検出するための平板状の装置を使用して操作を行う。,電子式や静電式などの方式があり，指などで画面に直接触れることで，コンピュータの操作を行う。,表面のタッチセンサーを用いて指の動きを認識し，ホイールと呼ばれる円盤に似た部品を回すようにして操作を行う。,平板状の入力装置を指でなぞることで，画面上のマウスポインタなどの操作を行う。,2,タッチパネルは、ディスプレイに表示される画像に直接触れることでデータを入力する装置です。銀行のATMやスマートフォンの入力装置として採用されています。,
25,テクノロジ系,タッチパネルの複数のポイントに同時に触れて操作する入力方式はどれか。,,タッチタイプ,ダブルクリック,マルチタスク,マルチタッチ,4,マルチタッチは、利用者がタッチパネルで上で触れている2点以上のポイントを認識して操作を行う方式です。画面拡大縮小の際の2本指で開いたり閉じたりする操作(ピンチイン／アウト操作)や、ゲーム操作の場面などで使用されています。,
26,テクノロジ系,暗号化通信で使用される共通鍵暗号方式に関する記述のうち，適切なものはどれか。,,暗号化に用いる鍵を第三者に公開しても，第三者は暗号文を復号できない。,公開鍵暗号方式よりも，暗号化処理と復号処理に掛かる計算量は少ない。,通信経路で改ざんされた暗号文を復号処理で訂正し，元のデータを復元する機能をもつ。,複数の相手ごとに通信内容を秘密にしたい場合でも，暗号化に用いる鍵は一つである。,2,共通鍵暗号方式は、秘密鍵暗号方式とも呼ばれ、暗号化と復号に同一の鍵を用いる方式です。代表的な共通鍵暗号は、DESやAESです。公開鍵方式は安全性の高い暗号ですが、その分複雑な処理が行われるので、暗号化と復号に時間がかかるというデメリットがあります。,
27,テクノロジ系,セキュリティを保つべきサーバルームの運用例として，適切なものはどれか。,,管理を容易にするために，入退室に使用するIDカードは個人ごとではなく部署ごとに発行する。,全従業員や来訪者に所在が分かるように，入口に室名表示をする。,入退室の情報が漏えいすることを防止するために，入退室の記録は取らない。,不正行為を防止するために，監督者がいないときはサーバ室で作業させない。,4,不正行為や不測事態の発生を防ぐには、監督者による目視や監視カメラによって利用状況を常時監視する対策が有効です。,
28,テクノロジ系,アプレットに関する記述として，適切なものはどれか。,,WebブラウザがWebサイトにアクセスしたときにWebサイトから送信され，利用者のPCに保存される文書ファイルである。,Webページを作成するための言語である。,サーバからダウンロードされ，クライアントであるWebブラウザに組み込まれて実行されるプログラムのことである。,データベースを操作して，データの追加や変更，削除，検索などの処理を行うための言語である。,3,アプレット(Applet)は、Webサイトにアクセスしたときに、サーバから閲覧者のWebブラウザに組み込まれて実行されるプログラムで、Webブラウザに拡張機能を与えます。アプレットは、クライアント側で実行されるプログラムということがポイントです。アプレットとは対照的にサーバ側で実行されるプログラムをサーブレット(Servlet)と言います。,
29,マネジメント系,図のように，改良及び機能追加を繰り返すことによって利用者の要求の変動に柔軟に対処したシステム開発を行う開発モデルはどれか。,29qa.png,ウォーターフォールモデル,再利用モデル,スパイラルモデル,リエンジニアリングモデル,3,スパイラルモデルは、「設計」～「プログラミング」「テスト」という一連の開発工程を繰り返しながら開発工程の規模を拡大(機能の改良・追加)し、開発コストの増加などのリスクを最小にしつつシステム開発を行う開発モデルです。,
30,テクノロジ系,情報セキュリティの物理的対策として，取り扱う情報の重要性に応じて，オフィスなどの空間を物理的に区切り，オープンエリア，セキュリティエリア，受渡しエリアなどに分離することを何と呼ぶか。,,サニタイジング,ソーシャルエンジニアリング,ゾーニング,ハッキング,3,ゾーニングとは区画することです。情報セキュリティマネジメントにおけるゾーニングは、オフィスをセキュリティレベルに応じて執務エリア、来客エリア、機密エリアなどに分け、それぞれに入退室者や管理方法を定める物理的対策を指します。,
31,ストラテジ系,"ビジネス戦略上の重要成功要因として""販売の機会損失の低減""が設定されたとき，この重要成功要因の達成度を評価するのに最も適切な指標はどれか。",,売上債権回転期間,売上高利益率,欠品率,新規顧客獲得数,3,"機会損失とは、購入側に買う意思があり、販売する側にも売る意思があったにもかかわらず、在庫切れや機械の故障などの理由で売買契約に至らず利益を逃してしまうことで間接的に生じる費用(概念)です。
目的が""販売の機会損失の低減""なので、そのビジネスプロセスの達成状況を評価する指標としては「欠品率」が適切です。
重要成功要因(CSF:Critical Success Factor)
経営戦略やITガバナンスなどを計画的に実施する際、その目標・目的を達成する上で決定的な影響を与える要因のことで、重点的に資源を投下して取り組むべき重要な目標を意味する。",
32,ストラテジ系,ある商品の販売量と気温の関係が一次式で近似できるとき，予測した気温から商品の販売量を推定する手法として，適切なものはどれか。,,回帰分析,線形計画法,デルファイ法,パレート分析,1,回帰分析は、統計的分析手法の一つで、目的変数（結果となる数値）と説明変数（原因となる数値）の因果関係を表す関数式を求めることです。販売量と気温の関係を数式で得ることができれば、気温から販売量を推定することができます。複数の変数間の関係を明らかにするのが回帰分析の目的です。,
33,テクノロジ系,DBMSにおいて，データの検索を高速に行う目的で，必要に応じて設定して利用する情報はどれか。,,インデックス,外部キー,主キー,スキーマ,1,"データベースのインデックスは、データベースへのアクセス効率を向上させるために、テーブル内の特定の列に対して作成される補助的なデータ構造（索引）のことです。
インデックスは少ない計算量で目的のデータを特定できるように構成されています。これを用いることでテーブルを全行探索することなく目的のデータにアクセスできるため、検索の実行速度が大幅に向上します。",
34,マネジメント系,ソフトウェアの品質特性は，機能性，使用性，信頼性，移植性などに分けられる。使用性に分類されるものはどれか。,,仕様書どおりの実行結果や操作が提供されている。,ソフトウェアの平均故障間隔が長い。,他のOS環境でも稼働できる。,利用者の習熟時間が短い。,4,"ソフトウェアの品質特性とは、ソフトウェアの品質を評価する基準のことです。
ISO/IEC 9126では、この評価基準として6つの特性とそれぞれの品質特性を細分化した21の副特性を定めています。今回はこのうち品質特性の意味だけを解説します。
「機能性(Functionality)」
目的から求められる必要な機能の実装の度合い
「信頼性(Reliability)」
機能が正常動作し続ける度合い，障害の起こりにくさの度合い
「使用性（Usability）」
分かりやすさ、使いやすさの度合い
「効率性(Efficiency)」
目的達成のために使用する資源の度合い
「保守性(Maintainability)」
保守（改訂）作業に必要な労力の度合い
「移植性（Portability）」
移植のしやすさ，別の環境へ移した際そのまま動作する度合い",
35,ストラテジ系,携帯電話機や家電などで用いられる無線通信の標準化規格であるBluetoothの活用事例はどれか。,,1台の家庭用ゲーム機に，2個のコントローラーを無線で接続する。,カーナビゲーションシステムで人工衛星からの信号を受信する。,携帯電話機でQRコードを読み取る。,自動改札機にかざされたIC乗車カードの情報を読み取る。,1,"Bluetoothは、免許申請や使用登録の不要な2.4GHz帯の電波を用いて、数mから100m程度の距離の情報機器間で、電波を使い最大24Mbpsの無線通信を行う規格です。パソコンと周辺機器の接続、ゲーム機、ハンズフリー通話、ワイヤレスヘッドフォンなどの用途で幅広く普及してきています。
Bluetoothでは、最大で1対7の同時接続が可能な「ピコネット機能」があるため、1台の「マスター機器」に複数の「スレーブ」(周辺機器)を接続した構成が可能です。",
36,テクノロジ系,外出先でPCをインターネットに直接接続するとき，インターネットからの不正アクセスを防ぐために使用するものとして，適切なものはどれか。,,ICカード認証,パーソナルファイアウォール,ハードディスクパスワード,ファイル暗号化ソフト,2,"外出先など社内以外の場所でPCを使用する場合、社内ネットワーク以外に接続することによって不正アクセスやウイルス感染が起こる可能性があります。
パーソナルファイアウォールは、個々のPC上で動作するファイアウォールで、PCに出入りするパケットを監視して通過可否を判断する機能をもちます。フィルタリングルールに許可するアプリケーションだけを登録しておくことで、不正プログラムの通信を未然に防ぐことができます。モバイル端末にはパーソナルファイアウォールを導入することが推奨されます。",
37,マネジメント系,プロジェクト管理の手法を適用するケースとして，最も適切なものはどれか。,,コンピュータシステムの定常的なオペレーションに適用する。,システム開発業務を外部委託する場合に，料金設定の基準として適用する。,システム開発部の職制を構成する場合に，フレームワークとして適用する。,チームを編成して，システムを構築するときに適用する。,4,"プロジェクトとは、独自の製品、サービス、所産を生み出すために実行される、定常業務ではない一度限りの活動です。定常業務と異なり、プロジェクトには「有期性」「独自性」という2つの要件があります。
有期性
実施期間が決まっていて、始まりと終わりが明確に定義できる
独自性
創造されるもの、あるいは達成目標がプロジェクトごとに固有なこと
プロジェクト管理の適用対象は、プロジェクトである必要があるため上記の2つの要件を満たしているかがポイントになります。",
38,マネジメント系,納入されたソフトウェアの一連のテストの中で，開発を発注した利用者が主体となって実施するテストはどれか。,,受入れテスト,結合テスト,システムテスト,単体テスト,1,受入れテストは、開発を外部委託した場合において、委託先から成果物が納品される際に成果物の品質を検証するために実施されるテストです。発注側が作成したテスト計画や合否判断をもとに発注側の主導で行われ、成果物が要求事項を満たしているかを確認します。一般的には、受入れテストに合格すれば納品・導入手続きに進むことになります。,
39,マネジメント系,システム開発プロジェクトにおいて，成果物の品質を評価するために使用する指標として，適切なものはどれか。,,外部調達率,テストカバー率,投入した延べ人数,プロジェクト経過日数,2,"適切に設計されたテストであればカバー率（テスト実績度）が高くなるほど、成果物に潜む不具合は解消されていくため成果物の品質は良くなります。したがってテストカバー率は成果物の品質を評価するための指標となります。
他の項目では、増加または減少することで成果物の品質に影響はするでしょうが、相関関係がないため指標としては不適切です。",
40,テクノロジ系,移動体通信サービスのインフラを他社から借りて，自社ブランドのスマートフォンやSIMカードによる移動体通信サービスを提供する事業者を何と呼ぶか。,,ISP,MNP,MVNO,OSS,3,MVNO(仮想移動体通信事業者)は、自身では無線通信回線設備を保有せず、ドコモやau、ソフトバンクといった電気通信事業者の回線を間借りして、移動通信サービスを提供する事業者です。UQ mobile、OCNモバイル、mineo、IIJmioなどの事業者がMVNOに該当します。MVNOによって提供されるサービスは、サポートや性能が不十分な反面、利用料金が安く設定されていることから、利用者数を右肩上がりに伸ばしています。,
41,ストラテジ系,"評価指標には目標の達成度を評価する指標と，目標達成の手段を評価する指標の2種類がある。""社員の英語力を向上する""との目標を設定したとき，目標の達成度を示している指標として，適切なものはどれか。",,英語学習の重要性に関する社長メッセージの社員認知率が80%以上,英語力テストでの650点以上の得点者比率が60%以上,英語力テストへの社員参加率が90%以上,月例の社内英語研修の開催率が90%以上,2,"「目標の達成度を評価する」のですから、以前と比べて英語力が向上したかどうかを確認したいわけです。
したがって「英語力テストでの得点者比率」を評価指標とし、この指標がどう推移していくのかによって目標の達成度を把握することができます。
正解以外の選択肢は、目標達成の手段の有効性を評価する指標です。",
42,テクノロジ系,ログイン機能をもつWebサイトに対する，パスワードの盗聴と総当たり攻撃へのそれぞれの対策の組合せとして，最も適切なものはどれか。,42qa.png,ア,イ,ウ,エ,2,"[パスワードの盗聴]
盗聴とは、通信経路上のデータを何らかの方法で傍受し、データに含まれるパスワード等の秘密情報を不正に取得する行為です。
暗号化されたパスワードは通信当事者同士のみが復号できます。よって、パスワードが暗号化されていれば、通信経路上で第三者に盗聴されたとしても元のパスワードを知られることはありません。
推測が難しい文字列をパスワードに設定しても盗聴には効果がありません。
[総当たり攻撃]
総当たり攻撃は、特定の文字数および文字種で設定可能なすべての組合せを試すことで不正ログインを試みる攻撃手法です。
この攻撃は、何万回の試行を繰り返すことが前提になっているので、対策としてはログインの試行回数に制限を設ける方法が一般的です。一定回数連続して認証に失敗した場合に一定時間アカウントを停止する措置をロックアウトといいます。
なお、シングルサインオンはユーザー認証を一度受けるだけで許可された複数のサーバへのアクセスについても認証する技術ですので、総当たり攻撃の対策とはなりません。",
